A01nficha;A01uf;idade_calculada;E03;E05;id_genero
23;53;35;1;4;1
23;53;35;2;1;1
23;53;2;2;1;99999
23;53;0;2;1;99999
86;53;35;2;4;1
101;53;46;1;4;1
101;53;46;2;4;1
101;53;18;2;4;1
101;53;14;1;4;99999
123;53;70;2;4;1
123;53;65;1;4;1
123;53;38;1;4;1
140;53;50;2;2;1
140;53;52;1;1;1
140;53;17;2;4;99999
140;53;12;1;4;99999
143;53;50;2;2;1
143;53;21;2;4;1
143;53;23;1;2;1
143;53;1;1;2;99999
173;53;67;2;1;1
181;53;34;1;4;1
181;53;31;2;1;1
238;53;60;2;4;1
238;53;22;1;4;1
279;53;32;2;4;1
279;53;7;1;4;99999
304;53;47;2;2;1
304;53;20;2;4;1
304;53;10;1;2;99999
304;53;1;1;4;99999
344;53;63;1;1;1
344;53;59;2;1;1
344;53;36;2;1;1
344;53;19;2;1;1
348;53;41;2;2;1
348;53;45;1;2;1
348;53;16;1;2;99999
348;53;24;2;2;1
348;53;0;2;2;99999
397;53;42;1;4;1
398;53;36;2;4;1
398;53;16;1;4;99999
398;53;18;2;4;1
431;53;35;1;4;1
431;53;38;2;4;1
431;53;2;1;4;99999
442;53;22;2;5;1
442;53;22;1;4;1
443;53;71;2;4;1
443;53;40;1;4;1
447;53;35;2;1;1
447;53;30;1;1;1
447;53;3;2;1;99999
448;53;73;2;1;1
448;53;74;1;1;1
481;53;50;1;1;1
481;53;56;2;1;1
481;53;70;1;1;1
497;53;60;2;1;1
497;53;73;1;4;1
581;53;42;2;4;1
581;53;18;2;1;1
581;53;3;2;1;99999
610;53;55;1;4;1
622;53;48;2;4;1
622;53;49;1;1;1
648;53;40;1;1;1
768;53;69;2;4;1
783;53;40;2;1;1
783;53;41;1;1;1
783;53;8;2;1;99999
783;53;3;1;1;99999
848;53;42;1;5;1
848;53;35;2;4;1
848;53;11;2;4;99999
848;53;52;2;4;1
865;53;29;2;1;1
865;53;59;2;1;1
890;53;33;1;1;1
890;53;30;2;4;1
900;53;51;2;4;1
900;53;53;1;4;1
900;53;19;1;4;1
900;53;14;2;4;99999
963;53;78;1;4;1
967;53;56;1;1;1
967;53;45;2;1;1
967;53;5;2;1;99999
995;53;73;2;2;1
999;53;22;2;4;1
999;53;49;2;4;1
999;53;10;1;1;99999
999;53;5;1;4;99999
1003;53;44;2;1;1
1012;53;51;1;1;1
1012;53;47;2;1;1
1012;53;21;2;1;1
1012;53;1;1;1;99999
1022;53;33;2;2;1
1022;53;13;2;2;99999
1022;53;8;2;4;99999
1022;53;10;2;4;99999
1022;53;5;2;2;99999
1082;53;43;2;1;1
1115;53;32;2;2;1
1115;53;35;1;4;1
1115;53;6;2;4;99999
1115;53;3;2;1;99999
1115;53;1;1;2;99999
1128;53;36;2;1;1
1128;53;19;2;4;1
1136;53;46;2;4;1
1136;53;12;1;1;99999
1166;53;70;2;4;1
1166;53;72;1;4;1
1237;53;39;1;1;1
1237;53;32;2;1;1
1237;53;12;1;1;99999
1267;53;51;2;4;1
1267;53;49;1;4;1
1267;53;25;2;4;1
1267;53;25;2;4;1
1267;53;21;2;4;1
1267;53;20;1;4;1
1312;53;39;1;4;1
1312;53;39;2;1;1
1312;53;5;1;1;99999
1312;53;8;2;4;99999
1319;53;43;2;4;1
1319;53;15;1;4;99999
1319;53;4;2;4;99999
1319;53;12;2;4;99999
1324;53;27;1;1;3
1324;53;28;2;1;3
1325;53;79;1;1;1
1325;53;77;2;1;1
1325;53;46;1;1;1
1334;53;42;1;4;1
1334;53;41;2;2;1
1334;53;15;2;4;99999
1334;53;22;1;4;1
1334;53;8;2;4;99999
1397;53;29;1;4;1
1407;53;49;2;1;1
